類別,問題（Q）,回答（A）,關鍵詞,注意事項 / 補充說明
藥物與吸入治療,使用吸入器時藥罐瓶底未朝上會有什麼影響？,使用時應保持吸入器藥罐瓶底朝上，否則會影響藥物正確噴出與吸入。,"pMDI, 瓶底朝上, 吸藥姿勢",每次使用前要先上下搖晃吸入器 8-10 下
藥物與吸入治療,若吸力不足，是否能使用 pMDI？,若手口協調差或吸力不足，建議配合使用吸藥輔助器（spacer）。,"pMDI, 吸力不足, 協調, spacer",兒童與老年人尤其需要輔助器以提高手口協調效率
藥物與吸入治療,使用吸藥輔助器時吸氣太大力會怎樣？,會引起警示笛發出蜂鳴聲，應放慢吸氣速度。,"spacer, 蜂鳴聲, 吸氣速度",應使用正常緩慢吸氣方式，避免藥物顆粒無法沉入肺部
藥物與吸入治療,Respimat 吸入器首次使用前需要注意什麼？,必須先完成藥罐填裝並排空三次，才能正常使用。,"Respimat, 排空, 上藥, 啟動程序",排空三次是確保霧化噴霧順利的重要步驟
藥物與吸入治療,若吸入時沒感覺吸到藥，是否代表沒吸入？,有可能藥粉掉入口中而非進入肺部，應重新評估吸氣力與操作方式。,"Turbuhaler, 藥粉, 吸氣力, 使用錯誤",使用時應深吸並避免對著吸入器吐氣
藥物與吸入治療,吸入時沒聽到『嗶』聲且無甜味，藥物有被吸入嗎？,可能未正確壓到底導致膠囊未穿孔，應再次確認按鈕是否壓到底。,"Breezhaler, 嗶聲, 壓到底, 膠囊未穿孔",應雙手壓到底並確保膠囊破裂才可正確吸入
疫苗與預防,COPD患者是否應接種流感疫苗？,是，建議所有COPD患者每年施打流感疫苗，可減少急性發作、併發重症及死亡風險。,"流感疫苗, COPD, 急性發作, 每年施打",屬公費施打對象，接種時機為每年10-11月，常見副作用包括注射部位紅腫、輕微全身反應，一般1-2天內恢復。
疫苗與預防,COPD患者是否應接種肺炎鏈球菌疫苗？,是，所有65歲以上患者或18歲以上具嚴重慢性病COPD患者皆建議接種。,"肺炎鏈球菌疫苗, PCV13, PPV23, COPD, 預防肺炎",PPV23可終生施打兩劑，PCV13施打一劑即可；75歲以上未曾接種者可免費施打PPV23，副作用輕微。
疫苗與預防,PCV13與PPV23有什麼差異？,PCV13保護效果佳但涵蓋較少，價格高；PPV23涵蓋較多但保護力稍差，價格較低。,"PCV13, PPV23, 價格, 保護範圍, 結合型, 多醣體型",可與其他疫苗在不同部位同時接種；建議按醫師建議選擇疫苗種類及接種時程。
疫苗與預防,肺炎鏈球菌疫苗對COPD患者有效嗎？,對COPD疾病惡化的預防證據不明，但對預防肺炎具顯著效益，值得接種。,"COPD, 預防肺炎, 疫苗效果, 研究",PCV13在65歲以上族群對疫苗型肺炎有顯著保護力，且效果可維持4年以上。
疫苗與預防,臨床上如何協助COPD病人預防急性發作？,除戒菸外，建議定期接種流感與肺炎疫苗、定期追蹤、使用吸入劑治療並留意天氣變化。,"COPD, 戒菸, 疫苗接種, 急性發作, 吸入治療",案例顯示，老年患者接種疫苗後冬季未再發作，顯示預防策略有效。
疫苗與預防,COPD患者需要每年打流感疫苗嗎？,是，建議每年施打以減少急性發作、併發重症及死亡風險。,COPD、流感疫苗、預防,每年10月至11月開打，施打時間依疾管署公告為準。
疫苗與預防,COPD患者施打流感疫苗是否為公費？,是，COPD病人屬於公費施打對象。,公費疫苗、流感、COPD,時程依當年疾管署公告，須注意公告接種日期。
疫苗與預防,流感疫苗接種可能有哪些副作用？,注射部位疼痛、紅腫、發燒、頭痛、肌肉酸痛、皮膚搔癢等，通常1-2天內自然恢復。嚴重過敏反應極少見。,副作用、流感疫苗、不適反應,若出現嚴重不適，建議立即就醫，尤其是過敏反應需注意是否在30分鐘內出現。
疫苗與預防,COPD患者建議施打哪些肺炎鏈球菌疫苗？,PCV13（終生1劑）與PPV23（終生最多2劑），可依年齡與慢性病情選擇。,PCV13、PPV23、肺炎疫苗,PCV13保護力較強但價格較高；PPV23涵蓋範圍較廣但保護力略低。可依醫囑選擇。
疫苗與預防,哪些COPD患者建議施打肺炎鏈球菌疫苗？,所有65歲以上COPD病人，以及18-64歲間患有嚴重慢性病的COPD病人。,高風險族群、疫苗建議、慢性病,嚴重慢性病包含免疫不全、腎病、癌症、器官移植等。建議諮詢醫師評估。
疫苗與預防,哪些人可公費施打肺炎鏈球菌疫苗？,75歲以上且未曾接種者，可公費施打一劑PPV23。,公費疫苗、PPV23、75歲以上,僅限未曾接種過者；接種時須提供年齡與病史證明。
疫苗與預防,肺炎鏈球菌疫苗的副作用有哪些？,接種部位紅腫、疼痛，通常2天內恢復，發燒、倦怠等全身性反應較少見。,疫苗副作用、紅腫、發燒,接種後應觀察至少30分鐘，避免即時過敏反應。若有不適需就醫。
疾病認識與病因,什麼是慢性阻塞性肺病（COPD）？,COPD是一種因呼吸道長期發炎導致的慢性氣流阻塞疾病，無法完全恢復，包含慢性支氣管炎與肺氣腫兩類，常見症狀為咳嗽、痰多、呼吸困難。,COPD、慢性支氣管炎、肺氣腫、氣流受限,"台灣每年逾5,000人死於COPD，90%與吸菸相關，患者常有多重共病。"
病因與症狀,COPD的症狀與危險因子有哪些？,症狀包括慢性咳嗽、咳痰、呼吸困難；危險因子包含吸菸、二手菸、粉塵、油煙與空氣污染。,咳、痰、悶、喘、吸菸、環境污染,長期暴露於有害物質下是主因，應避免接觸。
藥物與吸入治療,COPD的治療方式有哪些？,包括藥物（支氣管擴張劑、類固醇、抗生素等）及非藥物治療（戒菸、疫苗、營養、肺復健、氧氣治療）。,支氣管擴張劑、肺復健、疫苗、戒菸,遵循醫囑、不可擅自停藥，肺復健可改善生活品質。
生活照護與復健,COPD患者日常生活應注意哪些事項？,避免煙害與刺激物、保暖、戴口罩、規律運動、均衡飲食、避免感染。,運動、飲食、空污、口罩、疫苗,避免彎腰或舉重物，步行為推薦運動，每次20-30分鐘。
症狀與評估,COPD病人遇到什麼情形應立即就醫？,如呼吸困難加劇、痰變色變多、發燒、心跳不穩、吸入短效藥無效時。,呼吸困難、急性惡化、就醫指引,備妥短效支氣管擴張劑，無效時請即刻送醫。
生活照護與復健,慢性阻塞性肺病（COPD）患者該如何節省體力以因應日常活動的困難？,COPD患者可以透過事先計畫、優先處理重要事項、控制活動節奏、使用省力姿勢與工具、委託他人等方式來節省體力。此外，也應避免連續從事耗力活動。,節省體力、日常活動、事先計畫、體位調整、委託,鼓勵患者記錄導致氣促的活動，並與醫療團隊討論改善方式。
生活照護與復健,什麼是撅嘴式呼吸？為何建議COPD患者學習？,撅嘴式呼吸是一種能減緩呼吸速度、增加吸入和呼出氣體量的方法。透過這種呼吸方式可有效減少氣促感，建議在所有活動中使用。,撅嘴式呼吸、氣促、呼吸技巧、慢性阻塞性肺病,例如上樓梯時，在慢慢呼氣的過程中走幾步，可保持呼吸均勻。
生活照護與復健,COPD患者在沐浴或進行個人清潔時有哪些節能方式？,建議選擇盆浴並坐在椅子上進行洗澡、刷牙、化妝等活動。使用溫水並打開窗戶通風可減少蒸汽導致的氣促與頭暈。,沐浴、節能、省力、氣促、個人照護,沐浴為高耗能活動，可考慮使用處方氧氣輔助。
旅行與飛航,COPD患者出遠門或搭飛機前應注意哪些事項？,需考量休息時間、氣候變化、空氣品質、海拔高度、藥物與氧氣器材攜帶情況，並提早通知航空公司氧氣需求。,旅行、COPD、空氣污染、飛行、氧氣需求,出發前應與醫師討論是否能配合旅行時規律生活，並隨身攜帶醫療識別卡。
疾病認識與病因,什麼是慢性阻塞性肺部疾病（COPD）？,COPD是一種慢性肺功能退化，無法完全治癒的疾病。特點是呼吸道阻塞、氣體進出困難，常包含慢性支氣管炎與肺氣腫。,"COPD, 慢性支氣管炎, 肺氣腫, 呼吸道阻塞",治療目標為維持呼吸功能、避免病情惡化、提高生活品質。
疾病認識與病因,造成COPD的原因有哪些？,包含抽煙（含二手煙）、空氣污染、感染、過敏、遺傳、肺臟老化與職業暴露（如矽、煤等）。,"抽煙, 空氣污染, 感染, 遺傳, 職業暴露",香煙含有害物質會影響呼吸道纖毛，導致痰液堆積與感染。
症狀與評估,COPD有哪些常見症狀？,包括哮喘、慢性咳嗽、咳痰、呼吸困難、咳血、疲倦、意識不清、發燒及腳水腫等。,"咳嗽, 咳痰, 呼吸困難, 哮喘, 缺氧",缺氧症狀如頭痛、失眠、發紺等也需留意。
合併症,COPD可能引發哪些併發症？,包括呼吸衰竭、慢性肺心症、營養不良、氣胸、肺炎與睡眠呼吸中止症。,"併發症, 肺心症, 氣胸, 營養不良, 呼吸衰竭",須密切追蹤肺功能與感染徵兆。
藥物與吸入治療,COPD有哪些治療方式？,包括戒煙、藥物（支氣管擴張劑、袪痰劑、類固醇、抗生素）、氧氣治療及呼吸運動訓練。,"支氣管擴張劑, 類固醇, 氧氣治療, 呼吸訓練",藥物需遵醫囑使用，避免自行增減。
呼吸訓練,COPD患者可做哪些呼吸運動？,包含噘嘴呼吸、腹式呼吸、上肢與下肢運動，以增強肺部排氣功能與活動耐力。,"噘嘴呼吸, 腹式呼吸, 呼吸運動, 肺復健",應循序漸進並監測是否出現不適，如氣喘、頭暈等。
生活照護與復健,COPD病人在居家生活上應注意什麼？,避免感染、規劃作息與活動、穿著寬鬆衣物、簡化烹飪、必要時使用氧氣並確保安全。,"感染預防, 作息規劃, 居家照護, 氧氣使用",避免吸菸、避免與感冒者接觸、避免穿綁鞋。
飲食與營養,COPD患者的飲食有什麼建議？,採少量多餐，低醣高脂、高纖飲食，避免產氣食物，多補充水分與蔬果，避免便秘。,"低醣高脂, 高纖, 少量多餐, 飲食建議",避免鹽分攝取過多、注意呼吸困難時的進食節奏。
生活照護與復健,如何協助COPD患者清除痰液？,可使用深呼吸、有效咳嗽、拍痰與姿位引流法輔助排痰，並補充水分促進痰液流動。,"拍痰, 姿位引流, 有效咳嗽, 痰液清除",若出現呼吸困難或嘴唇發黑，應停止引流並就醫。
疾病認識與病因,什麼是慢性阻塞性肺疾病（COPD）？,COPD是一種長期慢性且無法恢復的呼吸道阻塞疾病，使氣體無法通暢進出呼吸道，目前尚無根治方法。,COPD、慢性、呼吸道阻塞、無法恢復,包括慢性支氣管炎與肺氣腫
治療目標,治療COPD的主要目標是什麼？,維持現有呼吸功能與生活品質，透過肺復原治療幫助病患自我照顧。,治療目標、生活品質、肺復原,屬於慢性病管理
肺復原運動,做呼吸運動有哪些好處？,可訓練呼吸肌肉、延長呼氣時間、放鬆肌肉、減輕焦慮、增加氣體交換與活動耐受力。,呼吸運動、肺復原、呼氣、耐受力,可降低呼吸困難程度
生活照護與復健,哪些病人適合接受肺復原治療？,包括COPD、氣喘、慢性支氣管炎、咳痰困難者、術後肺擴張不全者。,COPD、氣喘、支氣管炎、復原對象,涵蓋急性與慢性肺病患者
生活照護與復健,肺復原課程的內容包含哪些？,呼吸運動、復原運動、咳痰訓練、吸入治療、氧氣治療衛教等。,肺復原、課程內容、咳痰、吸入治療,通常建議6-8週至少12次
生活照護與復健,肺復原運動前應做哪些準備？,穿著寬鬆衣物、適合步行的鞋子、可使用助行器、避免餐後與劇烈運動後進行。,運動準備、肺復原、衣著、時間點,運動前2小時勿做劇烈活動
生活照護與復健,進行肺復原運動時有哪些注意事項？,正常服藥、由低強度開始、使用氧氣需依醫囑、出現不適立即停止。,運動安全、肺復原、氧氣、不適症狀,頭暈、發黑等為停止訊號
藥物與吸入治療,肺復原治療可在哪些環境進行？,住院、門診與居家皆可進行，需長期指導以取得較大效果。,肺復原、住院、門診、居家訓練,門診課程每週2次，每次90分鐘
生活照護與復健,肺復原中心的服務內容有哪些？,包含肺功能檢查、呼吸運動、復原運動、呼吸道清潔、個案管理及衛教等。,肺復原中心、檢查、呼吸訓練、衛教,屬於整體治療一環
氧氣治療與設備,居家氧氣治療包含哪些種類？,居家氧氣治療包括五種形式：1. 長期氧療（LTOT），2. 夜間氧療（NOT），3. 動態氧療（AOT），4. 姑息性氧療（POT），5. 短脈衝氧療（SBOT）。,"居家氧氣治療, LTOT, NOT, AOT, POT, SBOT",本文主要討論的是長期氧療（LTOT）。
氧氣治療與設備,長期氧療每天應使用多少時間？,對COPD病患建議每天至少使用15小時，可減少缺氧引發的不正常生理狀況與死亡率。,"LTOT, COPD, 氧療時間, 15小時, 死亡率",24小時使用對高PaCO2、高HCT、肺高壓及神經精神異常病患效果更佳。
氧氣治療與設備,氧氣治療的流量該如何設定？,一般由1 L/min起始，每次增加1 L/min，每20分鐘觀察滴定，目標SpO2>90%、PaO2>60mmHg。,"氧氣流量, 滴定, SpO2>90%, PaO2>60mmHg",睡眠及活動時需再次評估，運動中建議做6分鐘步行測試。
氧氣治療與設備,長期氧療病患需要定期追蹤嗎？,出院後前4週內應由專業人員追蹤，穩定後每3個月一次，6至12個月回門診重新評估是否繼續LTOT。,"追蹤, LTOT, 出院後, 門診評估",氧療需專業指導與知識，避免錯誤醫囑危害病患。
氧氣治療與設備,為什麼COPD患者需要氧氣治療？,當肺部無法運送足夠的氧氣到血液時，COPD患者會出現呼吸困難、疲倦等現象，透過醫囑在家使用氧氣可穩定肺部循環、增加活動耐受力及改善生活品質。,COPD、氧氣治療、呼吸困難、生活品質,需遵照醫囑使用氧氣，不得自行增減流量。
氧氣治療與設備,居家常見的供氧設備有哪些？,常見設備包括：高壓氧氣筒、液態氧、氧氣濃縮機。,高壓氧氣筒、液態氧、氧氣濃縮機、氧療,各設備特性不同，依病人需要選擇，需由專業人員指導使用方式。
氧氣治療與設備,氧氣吸入裝置有哪幾種？適用情況為何？,包括鼻導管（適用於一般狀況）、簡易型面罩（適用於張口呼吸或鼻腔阻塞者）。,鼻導管、面罩、氧氣吸入,鼻導管超過3L/min須搭配潮濕器；面罩流量須大於5L/min。
氧氣治療與設備,長期氧氣治療可能會有什麼副作用？,常見副作用包括：鼻黏膜損傷、二氧化碳過高、氧毒性、低血氧症。,氧毒性、鼻黏膜、低血氧、呼吸抑制,建議COPD患者每分鐘使用1~3公升的氧氣流量。
氧氣治療與設備,在家使用氧氣時要注意哪些安全事項？,遠離火源與可燃物至少3公尺，遠離家電與電器至少1.5公尺，禁止抽菸，正確使用與存放氧氣設備。,火源、電器、氧氣安全、存放位置,避免使用含油物質接觸氧氣裝置，避免氣爆。
呼吸器照護,呼吸器使用需監測哪些項目？,痰量、體溫、心跳、血壓、每日尿量、每日進食熱量、消化及排便狀況，應以表格紀錄提供醫師參考。,"監測項目, 居家照護, 表格記錄",應由醫師或呼吸治療師指導並定期追蹤。
呼吸器照護,呼吸器警報聲可能代表什麼？,可分為呼吸器功能故障、功能不良、病人問題（影響/不影響呼吸器使用）四大類。,"呼吸器警報, 功能故障, 病人問題",需與呼吸治療師或醫師確認警報意義與處理方式。
呼吸器照護,非侵襲性呼吸器使用的注意事項有哪些？,需選擇合適面罩、預防壓瘡、注意漏氣、觀察血氧變化、避免自行更換設定。,"雙陽壓呼吸器, 面罩選擇, 血氧監測",呼吸器設定應由呼吸治療師與胸腔專科醫師決定。
呼吸器照護,居家呼吸器照護有哪些階段？,依全民健保試辦計畫分為四階段：加護病房、亞急性呼吸照護病房、慢性呼吸照護病房、居家呼吸照護。,"呼吸照護四階段, 健保試辦, 居家轉介",病患使用呼吸器超過21天需提出重大傷病申請，確認是否符合資格轉居家照護。
呼吸器照護,如何查詢有提供居家呼吸照護的單位？,可至中央健康保險署網站查詢「健保特約醫事機構」> 居家護理，或由呼吸照護病房協助提供。,"居家照護所, 查詢方式, 健保特約",應確認是否包含呼吸器服務、專業團隊組成與收費模式。
氧氣治療失敗的徵兆,哪些情況表示氧氣治療失敗？,1. 經藥物與氧氣治療症狀未改善；2. 動脈血酸鹼值pH < 7.35；3. PaCO2 > 45 mmHg。,氧氣治療失敗、pH < 7.35、PaCO2 > 45、呼吸器,應考慮使用呼吸器（非侵襲或侵襲性）輔助治療
呼吸器照護,非侵襲性呼吸器使用原則為何？,初始設定：吸氣正壓10 cmH2O，吐氣正壓4-5 cmH2O；氧飽和目標88~92%；定期追蹤血氣與病人狀況。,非侵襲性呼吸器、吸氣正壓、吐氣正壓、氧飽和度,避免面罩壓瘡與漏氣，初始幾小時應觀察是否改善，常用2-3天。
非侵襲性呼吸器禁忌,哪些病人不適合使用非侵襲性呼吸器？,昏迷、無法保護呼吸道、血行動力學不穩、上消化道出血、呼吸道阻塞、氣胸、嘔吐等。,非侵襲性呼吸器、禁忌症、昏迷、氣胸,使用需由呼吸治療師或胸腔科醫師執行
非侵襲性呼吸器療效指標,非侵襲性呼吸器治療成功的指標有哪些？,pH > 7.35、呼吸速率正常、症狀改善。,呼吸器療效、pH、呼吸速率、症狀改善,通常治療時間為6-24小時，視臨床狀況調整
呼吸器照護,何時考慮使用侵襲性呼吸器？,1. pH < 7.25；2. 疾病嚴重；3. 病人與呼吸器不協調；4. 非侵襲治療無效；5. 其他器官障礙；6. 有其他內科問題。,侵襲性呼吸器、pH < 7.25、非侵襲失敗、插管,可先嘗試非侵襲性呼吸器，若無效再進行插管
慢性阻塞性肺病急性惡化,何謂慢性阻塞性肺病的急性惡化？,是指異於平常呼吸道症狀的加劇，如痰量增加、咳嗽或喘的加劇，通常會導致藥物調整或住院，嚴重影響病人預後。,急性惡化、痰量增加、住院、預後,住院後3-4年死亡率可達50%，應積極預防與治療。
慢性阻塞性肺病急性惡化,常見的急性惡化原因有哪些？,多數由細菌或病毒感染引起，亦可能與過敏、心衰竭、肺栓塞、氣胸等非呼吸道因素有關。,感染、過敏、心衰竭、肺栓塞、氣胸,非呼吸道因素需依原因對症處理。
急性惡化的藥物與治療,急性惡化時的氧氣治療目標為何？,避免過度給氧導致二氧化碳堆積，目標血氧飽和度為88%-92%。,氧氣治療、目標血氧飽和度、二氧化碳上升,若病人未有高二氧化碳風險，目標可放寬至94-98%。
氧氣給予方式,有哪些常用的氧氣給予方式？,常見方式有鼻導管、Venturi mask、一般面罩、未重吸面罩與高流速鼻導管。,鼻導管、Venturi面罩、未重吸面罩、高流速鼻導管,Venturi面罩為首選；高流速鼻導管病人感受較佳但費用高。
長期氧氣治療,長期氧氣治療有哪些常見副作用？,副作用包括鼻黏膜損傷（如鼻塞、流鼻血）、皮膚發紅或破損、未矯正的低血氧症、二氧化碳過高（嗜睡、晨間頭痛等）、氧氣毒性（長期高濃度氧氣使用）。,"副作用, 鼻黏膜, 皮膚損傷, 二氧化碳過高, 氧氣毒性",應依醫囑使用適當氧氣濃度與配戴方式，可使用潮濕器減少乾燥刺激。
長期氧氣治療,居家氧氣治療需要注意哪些安全事項？,需遵照醫囑、正確使用設備、定期檢查及維護設備、遠離火源、固定氧氣瓶、防止液態氧傾倒與凍傷、吸入裝置定期更換、留意低血氧與感染症狀。,"安全事項, 火源, 設備維護, 液態氧, 吸入裝置, 感染預防",液態氧特別需注意冷凍灼傷風險，不慎傾倒應避免接觸並求助專業處理。
社會資源與補助,氧氣治療設備可以申請哪些輔具補助？,可透過『身心障礙者醫療復健所需醫療費用及醫療輔具補助辦法』申請氧氣治療設備輔具補助。,"輔具補助, 長期照護, 醫療費用補助, 衛福部, 評估報告",需由醫師診斷評估，並向戶籍所在地政府機關提出申請，詳見衛福部輔具入口網。
長期氧氣治療,長期氧氣治療有哪些正向效益？,可提高血氧濃度、改善缺氧與心肺負擔、提升生活活動力、減少併發症與住院次數、改善認知與心理狀態、延長壽命。,"治療效益, 血氧濃度, 心肺負擔, 生活品質, 存活率",需要經醫師評估與個別化處方，搭配專業呼吸治療師指導使用。
氧氣治療與設備,壓縮氧氣鋼瓶的優缺點為何？,"優點：1. 適合小量、短期使用者；2. 不易流失；3. 儲存鋼瓶尺寸有多樣選擇；4. 可廣泛應用。
 缺點：1. 大型鋼瓶笨重且佔空間；2. 屬高壓系統（2200 psi），較有安全上的顧慮；3. 提供氧氣容量有限；4. 經常需要補充鋼瓶氣體。",壓縮氧氣鋼瓶、優點、缺點、高壓、安全、短期使用,需由專業氣體公司充填，適合家中備用或短程外出使用。
氧氣治療與設備,氧氣濃縮機的優缺點為何？,"優點：1. 無流失問題；2. 屬低壓系統（15 psi），較為安全；3. 長期使用較便宜；4. 沒有需要補充的問題；5. 有些廠牌可提供攜式氧氣濃縮機。
 缺點：1. 斷電即無法運作；2. 需備用氧氣系統；3. 無法驅動高壓設備；4. 氧氣濃度隨供應流速改變；5. 電力花費需考量。",氧氣濃縮機、低壓、長期使用、安全、電力依賴,需保持空氣流通以提供足夠氧氣來源，建議備有鋼瓶以因應停電。
氧氣治療與設備,液態氧系統的原理與適用情況為何？,"液態氧儲存於超低溫容器，1 公升液態氧相當於 856 公升氣態氧，重量輕、容量高，適合攜帶。母瓶可居家使用，子瓶可攜帶外出。
 缺點是設備昂貴，需要定期由氣體公司充填。",液態氧、低溫儲存、攜帶方便、母瓶、子瓶、成本高,適合需常外出活動之患者，但需配合供應商定期補充。
疾病認識與病因,COPD病程進展過程中，肺功能如何變化？,隨著年齡與病程進展，COPD病人的肺功能（FEV1%）逐漸下降，急性發作會加速此下降。若低於30%，常需居家氧氣治療或呼吸器協助。,"COPD, FEV1%, 急性發作, 居家氧氣治療, 呼吸器",急性發作會造成肺功能劇烈下降，若未控制，將導致惡化與生命危險。
COPD氧氣治療,何時需要長期氧氣治療？,動脈血氧飽和度 <88% 或血氧分壓 <55 mmHg；或 SaO2 88%-90% 且合併肺動脈高壓、水腫或紅血球增生。需重複測量並由胸腔科醫師評估。,"長期氧氣治療, SaO2, PaO2, 評估標準",需在穩定狀況下，三週內至少重複檢測兩次。
COPD呼吸器使用,何時需要使用呼吸器？,急性呼吸衰竭時（如急性發作合併呼吸窘迫），或慢性呼吸衰竭後無法脫機。可用於住院、機構照護或居家照護。,"呼吸衰竭, 呼吸器, 急性發作, 居家照護",慢性呼吸器依賴者可申請重大傷病、社會福利資源與照護計畫。
COPD生活調整,COPD病人有哪些生活注意事項？,應維持適度活動，避免長期臥床。使用氧氣裝置者，外出可攜帶氧氣筒；搭機時應評估需不需要額外氧氣。,"活動建議, 攜氧裝置, 搭飛機, 血氧不足",搭機前應諮詢醫師，視情況請航空公司準備氧氣。
COPD社會資源,哪些社會福利可協助嚴重COPD患者？,可申請殘障手冊、氧氣製造機、電動床、電費補助、外籍看護等。,"殘障福利, 輔具補助, 電費補助, 看護協助",應由醫師開立診斷證明後向各縣市政府社會局提出申請。
診斷與檢查,低血氧症有什麼臨床表徵？,"根據嚴重程度分為『輕度或中度低血氧』與『嚴重低血氧』：
 ◆ 呼吸系統：呼吸急促、呼吸困難，輕中度為『發紺』，嚴重時則可能出現『發紺』。
 ◆ 心血管系統：心率過快、輕微高血壓、周邊血管收縮，嚴重時心率可能過快或過慢、高血壓或低血壓。
 ◆ 神經系統：輕中度為焦躁不安、迷失方向、頭痛頭暈、疲乏無力；嚴重者可見嗜睡、意識不清、視力模糊、昏迷。",低血氧症、臨床表徵、呼吸系統、心血管系統、神經系統,低血氧症時器官會出現缺氧現象，可能引起代償反應，如呼吸急促與心率加快
診斷與檢查,什麼是呼吸衰竭？如何評估？,"呼吸衰竭是指肺部無法維持有效氣體交換，造成氧氣分壓（PaO₂）下降至 <60 mmHg 或二氧化碳分壓（PaCO₂）上升至 >50 mmHg。
 ◆ 評估方式包括動脈血氣體分析（ABG）、SpO₂測量及觀察臨床徵象。
 ◆ 臨床表現包含：焦躁不安、意識不清、心跳加快、呼吸急促、語句短促、使用輔助肌、後期會出現呼吸變淺、心跳慢與昏迷等。",呼吸衰竭、低血氧症、高碳酸血症、ABG、SpO₂,急性呼吸衰竭需立即處置，常需住院甚至插管；慢性者可用居家氧療或呼吸器輔助
診斷與檢查,什麼是PaO₂？,PaO₂是動脈血氧分壓，是評估低血氧症的黃金標準。可同時得知動脈血液中二氧化碳分壓，幫助判斷換氣功能與缺氧原因。,"PaO₂, 動脈血氣體分析, 換氣功能, 缺氧",需抽取動脈血液，由醫護人員操作，無法居家使用。
診斷與檢查,什麼是SaO₂？,SaO₂是動脈血氧飽和度，反映紅血球內血紅素與氧結合的百分比。與PaO₂高度相關。,"SaO₂, 動脈血氧飽和度, 血紅素",需動脈穿刺，測得與PaO₂結果高度相符。
診斷與檢查,什麼是SpO₂？,SpO₂是脈搏血氧飽和度，為非侵襲性檢查，可由指夾式脈搏血氧儀即時監測。,"SpO₂, 指夾式血氧儀, 非侵襲性監測",雖可持續監測，但數值準確度受多種因素干擾，需備妥儀器。
診斷與檢查,什麼是PtcO₂？,PtcO₂是經皮氧氣分壓，透過感測器貼於皮膚表面測得，為非侵襲性方式。,"PtcO₂, 經皮氧氣分壓, 非侵襲性",成人易受干擾因素影響，需謹慎判讀，常見於新生兒或傷口血氧評估。
診斷與檢查,SaO₂與PaO₂的對應關係為何？,一般情況下，SaO₂=100%時PaO₂約為100 mmHg，SaO₂=95%時PaO₂約為80 mmHg，SaO₂=90%時PaO₂約為60 mmHg。,"SaO₂與PaO₂對照, 血氧換算",PaO₂ < 60 mmHg即為低血氧症，依SaO₂可快速推估。
診斷與檢查,呼吸系統的主要功能為何？,呼吸系統透過通氣與氣體交換來維持血中氧氣與二氧化碳的穩定。通氣由呼吸肌收縮造成壓力差引導空氣進入肺泡，氣體交換則是氧氣進入血液並與紅血球結合，二氧化碳則經由吐氣排出體外。,呼吸系統、生理功能、通氣、氣體交換、肺泡、氧氣、二氧化碳,神經傳導與呼吸肌協調正常是呼吸功能正常的關鍵，一旦失調可能導致呼吸衰竭。
診斷與檢查,何謂呼吸衰竭？,當通氣或氣體交換功能失常，導致血氧過低（PaO₂ < 60 mmHg）或二氧化碳過高（PaCO₂ > 50 mmHg），即為呼吸衰竭。,呼吸衰竭、低血氧、高二氧化碳血症、PaO2、PaCO2,動脈血氣體分析（ABG）是診斷呼吸衰竭的重要工具。
氧氣治療與設備,為什麼COPD患者需要氧氣治療？,當肺部無法運送足夠的氧氣到血液時，COPD患者會出現呼吸困難、疲倦等現象，透過醫囑在家使用氧氣可穩定肺部循環、增加活動耐受力及改善生活品質。,COPD、氧氣治療、呼吸困難、生活品質,需遵照醫囑使用氧氣，不得自行增減流量。
氧氣治療與設備,居家常見的供氧設備有哪些？,常見設備包括：高壓氧氣筒、液態氧、氧氣濃縮機。,高壓氧氣筒、液態氧、氧氣濃縮機、氧療,各設備特性不同，依病人需要選擇，需由專業人員指導使用方式。
氧氣治療與設備,氧氣吸入裝置有哪幾種？適用情況為何？,包括鼻導管（適用於一般狀況）、簡易型面罩（適用於張口呼吸或鼻腔阻塞者）。,鼻導管、面罩、氧氣吸入,鼻導管超過3L/min須搭配潮濕器；面罩流量須大於5L/min。
氧氣治療與設備,長期氧氣治療可能會有什麼副作用？,常見副作用包括：鼻黏膜損傷、二氧化碳過高、氧毒性、低血氧症。,氧毒性、鼻黏膜、低血氧、呼吸抑制,建議COPD患者每分鐘使用1~3公升的氧氣流量。
氧氣治療與設備,在家使用氧氣時要注意哪些安全事項？,遠離火源與可燃物至少3公尺，遠離家電與電器至少1.5公尺，禁止抽菸，正確使用與存放氧氣設備。,火源、電器、氧氣安全、存放位置,避免使用含油物質接觸氧氣裝置，避免氣爆。
氧氣治療與設備,居家氧氣治療包含哪些種類？,居家氧氣治療包括五種形式：1. 長期氧療（LTOT），2. 夜間氧療（NOT），3. 動態氧療（AOT），4. 姑息性氧療（POT），5. 短脈衝氧療（SBOT）。,"居家氧氣治療, LTOT, NOT, AOT, POT, SBOT",本文主要討論的是長期氧療（LTOT）。
氧氣治療與設備,長期氧療每天應使用多少時間？,對COPD病患建議每天至少使用15小時，可減少缺氧引發的不正常生理狀況與死亡率。,"LTOT, COPD, 氧療時間, 15小時, 死亡率",24小時使用對高PaCO2、高HCT、肺高壓及神經精神異常病患效果更佳。
